Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Latitude,Longitude,03-01-2020
Hainan,China,2020-01-01,168,5,155,19.1959,109.7453,03-03-2020
,Spain,2020-01-01,165,1,2,40.0000,-4.0000,03-03-2020
Guizhou,China,2020-01-01,146,2,114,26.8154,106.8748,03-03-2020
Tianjin,China,2020-01-01,136,3,124,39.3054,117.3230,03-03-2020
Shanxi,China,2020-01-01,133,0,124,37.5777,112.2922,03-03-2020
Liaoning,China,2020-01-01,125,1,106,41.2956,122.6085,03-03-2020
,Singapore,2020-01-01,110,0,78,1.2833,103.8333,03-03-2020
Hong Kong,Hong Kong,2020-01-01,100,2,37,22.3000,114.2000,03-03-2020
Jilin,China,2020-01-01,93,1,83,43.6661,126.1923,03-03-2020
Gansu,China,2020-01-01,91,2,86,36.0611,103.8343,03-03-2020
Xinjiang,China,2020-01-01,76,3,68,41.1129,85.2401,03-03-2020
Inner Mongolia,China,2020-01-01,75,1,59,44.0935,113.9448,03-03-2020
Ningxia,China,2020-01-01,74,0,69,37.2692,106.1655,03-03-2020
,Kuwait,2020-01-01,56,0,0,29.5000,47.7500,03-03-2020
,Switzerland,2020-01-01,56,0,2,46.8182,8.2275,03-03-2020
,United Kingdom,2020-01-01,51,0,8,55.0000,-3.0000,03-03-2020
,Bahrain,2020-01-01,49,0,0,26.0275,50.5500,03-03-2020
Unassigned Location (From Diamond Princess),United States,2020-01-01,45,0,0,35.4437,139.6380,03-03-2020
,Thailand,2020-01-01,43,1,31,15.0000,101.0000,03-03-2020
Taiwan,Taiwan,2020-01-01,42,1,12,23.7000,121.0000,03-03-2020
,Malaysia,2020-01-01,36,0,22,2.5000,112.5000,03-03-2020
,Iraq,2020-01-01,32,0,0,33.0000,44.0000,03-03-2020
,Norway,2020-01-01,32,0,0,60.4720,8.4689,03-03-2020
,United Arab Emirates,2020-01-01,27,0,5,24.0000,54.0000,03-03-2020
,Netherlands,2020-01-01,24,0,0,52.1326,5.2913,03-03-2020
